slug,city
amphion,Amphion
anthy,Anthy
aubonne,Aubonne
baby-plage,Genève
bouveret,Bouveret
clarens,Clarens
crans,Crans
cully-p,Cully
excenevex,Excenevex
gland,Gland
grangettes,Grangettes
hermance,Hermance
lugrin,Lugrin
lutry,Lutry
meillerie,Meillerie
pichette,Vevey
port-choiseul,Versoix
preverenges-p,Préverenges
rolle,Rolle
saint-disdille,Saint-Disdille
savonniere,Savonière
tolochenaz-p,Tolochenaz
tougues,Tougues
versoix-p,Versoix
vidy-p,Vidy
versoix,Versoix
cully,Cully
preverenges,Préverenges
tolochenaz,Tolochenaz
vidy,Vidy
,Versoix
,Cully
,Préverenges
,Tolochenaz
,Vidy
