Plage,"Surface plage
m2",Nombre de bénévoles ,Temps total échantillonnage  Ligne d'eau (min),Temps total échantillonnage Plage sèche (min)
Amphion,436,4,49,169
Anthy-Séchex,245,2,28,95
Aubonne,375,4,40,148
Baby plage,513,5,58,199
Bouveret,538,5,50,219
Clarens,312,3,31,125
Crans,11,1,6,-
Cully,61,1,7,24
Embouchure Versoix,166,2,18,65
Excenevex,1977,17,87,901
Gland,31,1,8,8
Grangettes,321,3,37,123
Hermance,383,4,54,137
Lugrin,227,2,35,78
Lutry,325,3,40,122
Meillerie,14,1,7,-
Pichette,235,2,21,97
Port choiseul,437,4,72,146
Préverenges,1123,10,76,486
Rolle,954,8,62,415
Saint-disdille,270,3,30,105
Savonnière,401,4,40,160
Tolochenaz,144,2,29,43
Tougues,536,5,46,222
Vidy,545,5,49,223
