place,lat,lon
Hermance,46.304,6.241
Savonière,46.264,6.2
Baby Plage,46.209,6.163
Versoix,46.274,6.171
Crans,46.355,6.214
Gland,46.419,6.29
Rolle,46.361,6.351
Aubonne,46.46,6.391
Tolochenaz,46.492,6.481
Préverenges,46.511,6.53
Vidy,46.511,6.611
Lutry,46.5,6.692
Cully,46.489,6.741
Pichette,46.47,6.816
Clarens,46.439,6.89
Grangettes,46.396,6.887
Bouveret,46.389,6.86
Tougues,46.325,6.257
Amphion,46.398,6.534
Anthy,46.352,6.404
Excenevex,46.35,6.36
Lugrin,46.405,6.668
Meillerie,46.408,6.717
Saint-Disdille,46.401,6.502
Port Choiseul,46.29,6.171
