Plage,compte,lat,lon
Amphion,128,46.39811667,6.534083333
Anthy,117,46.35155,6.404266667
Aubonne,96,46.46026667,6.39115
Baby Plage,118,46.20878333,6.16285
Bouveret,204,46.389,6.859816667
Clarens,71,46.43941667,6.889566667
Crans,19,46.35538333,6.214033333
Cully,128,46.48895,6.7414
Excenevex,154,46.34981667,6.3595
Gland,40,46.4188,6.290033333
Grangettes,420,46.39621667,6.886716667
Hermance,168,46.30358333,6.240833333
Lugrin,225,46.40485,6.667833333
Lutry,151,46.49995,6.69245
Meillerie,57,46.40773333,6.716533333
Pichette,193,46.46991667,6.815783333
Port Choiseul,194,46.28966667,6.170716667
Préverenges,213,46.51141667,6.529916667
Rolle,153,46.46133333,6.350633333
Saint-Disdille,179,46.40105,6.502066667
Savonnière,268,46.26413333,6.199733333
Tolochenaz,95,46.4917,6.48075
Tougues,108,46.32471667,6.256883333
Versoix,99,46.27405,6.171316667
Vidy,152,46.51121667,6.6109
